Municipio;Tipologia;Classificazione;Denominazione;Indirizzo;Singole;Doppie;Triple;Quadruple;Quintuple;Sestuple;Totale camere;Posti letto;Unita abitative;Posti letto unita abitative
Municipio I (ex Mun I);Albergo;3 Stelle;PIAZZA DI SPAGNA;VIA MARIO DE FIORI, 61;1;9;9;1;0;0;20;50;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;PIEMONTE;VIA VICENZA, 32;11;23;0;0;0;0;34;57;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;PINCIO;VIA DI CAPO LE CASE, 50;2;7;7;0;0;0;16;37;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;PORTOGHESI;VIA DEI PORTOGHESI, 1;13;10;2;0;0;0;25;39;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;PRINCE GALLES;VIA SOMMACAMPAGNA, 29;2;5;13;0;0;0;20;51;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;PRINCEPS BOUTIQUE HOTEL;PIAZZA DELL'ESQUILINO, 29;2;14;4;0;0;0;20;42;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;PRINCIPE DI PIEMONTE;VIA GIOVANNI GIOLITTI, 449;14;4;0;0;0;0;18;22;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;PRISCILLA;VIA CALABRIA, 17;11;24;12;0;0;0;47;95;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;RAFFAELLO;VIA URBANA, 3;5;29;3;4;0;0;41;88;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;RANIERI;VIA VENTI SETTEMBRE, 43;8;38;5;0;0;0;51;99;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;Regina Giovann_;VIA NAZIONALE, 230;2;6;3;0;0;0;11;23;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;REPUBBLICA;VIA NAZIONALE, 251;14;37;16;5;5;0;77;181;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;RIMINI;VIA MARGHERA, 17;4;14;18;1;0;0;37;90;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SAN CARLO;VIA DELLE CARROZZE, 93;8;22;8;2;0;0;40;84;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SAN FRANCESCO;VIA JACOPA DE' SETTESOLI, 7;0;24;0;0;0;0;24;48;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SAN MARCO;VIA VILLAFRANCA, 1;4;74;2;1;0;0;81;162;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SANTA CHIARA;VIA DI S. CHIARA, 21;9;66;12;8;0;0;95;215;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SANTA MARIA;VICOLO DEL PIEDE, 2;0;9;5;5;0;0;19;53;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SCALINATA DI SPAGNA;PIAZZA DELLA TRINITA' DEI MONTI, 17;0;8;7;1;0;0;16;41;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SELECT;VIA VITTORIO BACHELET, 6;5;16;0;0;0;0;21;37;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SELENE;VIA DEL VIMINALE, 8;2;24;13;2;0;0;41;97;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SERENA;VIA PRINCIPE AMEDEO, 64;8;26;12;0;0;0;46;96;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SIRACUSA;VIA MARSALA, 50;84;55;1;0;0;0;140;197;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SIVIGLIA;VIA GAETA, 12;12;28;1;0;0;0;41;71;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SMERALDO;VICOLO DE'CHIODAROLI, 9;2;36;11;0;0;0;49;107;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;Smooth Hotel Rome-Termini;VIA PALESTRO, 13;17;40;12;3;0;0;72;145;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SOLIS INVICTUS;VIA CAVOUR, 311;3;11;3;0;0;0;17;34;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;SONYA;VIA DEL VIMINALE, 58;5;10;0;0;0;0;15;25;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;STARGATE;VIA PALESTRO, 88;2;19;1;0;0;0;22;43;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;ST. MORITZ;VIA NAZIONALE, 51;2;10;6;1;0;0;19;44;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;STROMBOLI;VIA MARSALA, 34;17;26;7;1;0;0;51;94;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;TERMINAL;VIA PRINCIPE AMEDEO, 103;5;6;24;0;0;0;35;89;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;Tex Hotel;VIA GIOVANNI AMENDOLA, 97;9;20;8;2;0;0;39;81;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;TIRRENO;VIA DI S. MARTINO AI MONTI, 17;23;17;8;0;0;0;48;81;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;TREE CHARME SPAGNA BOUTIQUE HOTEL;VIA DELLA MERCEDE, 37;2;7;1;1;0;0;11;23;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;TREVI;VICOLO DEL BABUCCIO, 19;3;19;2;0;0;0;24;47;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;TREVI 41 HOTEL;VIA DELLA PANETTERIA, 41;2;10;4;0;0;0;16;34;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;TREVI PALACE HOTEL;VIA MAZZARINO, 2;1;12;0;0;0;0;13;25;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;TRINITA' DEI MONTI;VIA SISTINA, 91;3;11;8;2;0;0;24;57;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;TRITONE;VIA DEL TRITONE, 210;5;24;10;4;0;0;43;99;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;VALLE;VIA CAVOUR, 134;2;30;9;1;0;0;42;93;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;VILLA DELLE ROSE;VIA VICENZA, 5;8;29;0;0;0;0;37;66;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;VILLA SAN PIO;VIA DI S. ANSELMO, 19;7;59;10;1;0;0;77;159;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;VIMINALE VIEW HOTEL;PIAZZA DEL VIMINALE, 14;0;8;2;0;0;0;10;22;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;WINDROSE;VIA GAETA, 35;25;21;6;0;0;0;52;85;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;XX SETTEMBRE;VIA DEL MACAO, 6;5;8;3;0;0;0;16;30;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;YES HOTEL;VIA MAGENTA, 13;2;11;4;3;1;0;21;53;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;YOU AND I HOTEL SUITESISTINA;VIA SISTINA, 91;0;9;1;0;0;0;10;21;0;0
Municipio I (ex Mun I);Albergo;3 Stelle;ZARA;VIA DELLE QUATTRO FONTANE, 37;7;17;14;4;0;0;42;99;0;0
Municipio I (ex Mun I);Albergo;4 Stelle;ALBERGO *DEMETRA HOTEL*;VIA DEL VIMINALE, 8;4;16;8;0;0;0;28;60;0;0
Municipio I (ex Mun I);Albergo;4 Stelle;ALBERGO MARCELLA ROYAL HOTEL;VIA FLAVIA, 104;23;55;7;2;0;0;87;162;0;0
Municipio I (ex Mun I);Albergo;4 Stelle;ALPI;VIA CASTELFIDARDO, 84;4;37;7;0;0;0;48;99;0;0
Municipio I (ex Mun I);Albergo;4 Stelle;ANGLO AMERICANO;VIA DELLE QUATTRO FONTANE, 12;9;62;36;6;1;0;114;270;0;0
Municipio I (ex Mun I);Albergo;4 Stelle;ANTICO PALAZZO ROSPIGLIOSI;VIA LIBERIANA, 21;6;21;11;1;0;0;39;85;0;0
Municipio I (ex Mun I);Albergo;4 Stelle;ARISTON;VIA FILIPPO TURATI, 16;10;60;11;1;0;0;82;167;0;0
Municipio I (ex Mun I);Albergo;4 Stelle;ART DECO';VIA PALESTRO, 19;14;33;17;4;0;0;68;147;0;0
