NUMERO CON;TIPO PAVIMENTAZIONE;TIPO COPERTURA;MQ;DAL GIORNO;AL GIORNO;NOTE;UBICAZIONE;CIVICO;STAGIONE;AREA MQ;DO_Y;DO_X
823;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;14;2012-11-16;2015-03-14;;Piazza dei Pitti;6/A;INVERNALE;14;43.7654887592872;11.2487670560339
83;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;19;2012-11-16;2015-03-14;;Via Orsanmichele;10 R;INVERNALE;19;43.7709532361245;11.2550382820855
830;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;36;2011-11-16;2014-03-14;;Piazza della Signoria;30 R;INVERNALE;36;43.7699934816394;11.2563163047438
831;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;25;2011-11-16;2014-03-14;;Viale Europa;126;INVERNALE;25;43.7567638634882;11.2962424075642
844;PEDANA RINGHIERA TAVOLINI;COPERTURA NON DEFINITA;20;2012-11-16;2015-03-14;;Piazza Lorenzo Ghiberti;88 R;INVERNALE;20;43.7705614523856;11.2674583878805
844;PEDANA RINGHIERA TAVOLINI;COPERTURA NON DEFINITA;20;2012-11-16;2015-03-14;;Piazza Lorenzo Ghiberti;88 R;INVERNALE;20;43.7705614523856;11.2674583878805
852;PEDANA RINGHIERA TAVOLINI;NESSUNA;3;2012-11-16;2015-03-14;;Borgo San Lorenzo;14 R;INVERNALE;3;43.7738989516823;11.2547407506133
86;TAVOLINI;COPERTURA NON DEFINITA;40;2012-11-16;2015-03-14;;Piazza dell'Unita Italiana;1 R;INVERNALE;40;43.7752792105143;11.2507937748894
865;PEDANA RINGHIERA TAVOLINI;COPERTURA NON DEFINITA;37;2012-11-16;2015-03-14;;Via della Spada;10 R;INVERNALE;37;43.7716499942244;11.2510430069181
883;PEDANA RINGHIERA TAVOLINI PARAVENTI;COPERTURA NON DEFINITA;13;2012-11-16;2015-03-14;;Via San Gallo;20 R;INVERNALE;13;43.7786539245167;11.2574285755614
898;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;11;2012-11-16;2015-03-14;;Via dei Ginori;11 R;INVERNALE;11;43.7753184083998;11.2551793715572
9005;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;10;2012-11-16;2015-03-14;;Piazza di San Felice;5 R;INVERNALE;10;43.765017594429;11.2479603004739
906;PEDANA RINGHIERA TAVOLINI;COPERTURA NON DEFINITA;20;2012-11-16;2015-03-14;;Piazza Lorenzo Ghiberti;5 R;INVERNALE;20;43.7701262273597;11.2667613542043
921;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;50;2012-11-16;2015-03-14;;Piazza di Cestello;1 R;INVERNALE;50;43.7703586953032;11.2435161453459
927;PEDANA RINGHIERA TAVOLINI PARAVENTI;GAZEBO;10;2011-11-16;2014-03-14;;Viale dei Mille;82 R;INVERNALE;10;43.7852529689778;11.271160056964
933;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;4;2011-11-16;2014-03-14;;Via del Mezzetta;8 R;INVERNALE;4;43.7734616797423;11.2918192297242
95;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;45;2012-11-16;2015-03-14;;Piazza del Carmine;6 R;INVERNALE;45;43.7687288883968;11.2446116684045
952;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;17;2011-11-16;2014-03-14;;Via Reginaldo Giuliani;159 R;INVERNALE;17;43.8168963380017;11.2262710203792
954;PEDANA RINGHIERA TAVOLINI PARAVENTI;OMBRELLONI;16;2011-11-16;2014-03-14;;Via Duccio di Buoninsegna;4;INVERNALE;16;43.7662303029278;11.2202541572113
967;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;81;2012-11-16;2015-03-14;;Piazza di Santa Croce;12;INVERNALE;81;43.7690762956215;11.2620724011529
983;PEDANA RINGHIERA TAVOLINI;NESSUNA;11;2011-11-16;2014-03-14;;Viale Donato Giannotti;19 R;INVERNALE;11;43.7608734728012;11.2844293569566
983;PEDANA RINGHIERA TAVOLINI;NESSUNA;11;2011-11-16;2014-03-14;;Viale Donato Giannotti;19 R;INVERNALE;11;43.7608734728012;11.2844293569566
990;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;10;2011-07-27;2013-11-15;;Via Vincenzo Gioberti;140 R;ESTIVO;10;43.7705718624662;11.2729980918954
;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;14;2012-11-16;2015-03-14;;Via della Scala;1 R;INVERNALE;14;43.773229228727;11.2487895087869
